"index";"Company";"TypeName";"Inches";"pixle_width";"pixle_height";"touchscreen";"cpu_speed";"cpu_brand";"cpu_";"Ram";"memmory_type";"primary_storage";"secondary_storage";"gpu_";"Gpu_brand";"OpSys";"Weight";"Price"
0;"Apple";"Ultrabook";13.0;2560;1600;0;2.3;"Intel";"Core i5";8;"SSD";128;0;" Iris Plus Graphics 640";"Intel";"mac";1.4;71379
1;"Apple";"Ultrabook";13.0;1440;900;0;1.8;"Intel";"Core i5";8;"Flash Storage";128;0;" HD Graphics 6000";"Intel";"mac";1.3;47896
2;"HP";"Notebook";16.0;1920;1080;0;2.5;"Intel";"Core i5";8;"SSD";256;0;" HD Graphics 620";"Intel";"N/A";1.9;30636
3;"Apple";"Ultrabook";15.0;2880;1800;0;2.7;"Intel";"Core i7";16;"SSD";512;0;" Radeon Pro 455";"AMD";"mac";1.8;135195
4;"Apple";"Ultrabook";13.0;2560;1600;0;3.1;"Intel";"Core i5";8;"SSD";256;0;" Iris Plus Graphics 650";"Intel";"mac";1.4;96096
5;"Acer";"Notebook";16.0;1366;768;0;3.0;"AMD";"A9-Series 9420";4;"HDD";500;0;" Radeon R5";"AMD";"window";2.1;21312
6;"Apple";"Ultrabook";15.0;2880;1800;0;2.2;"Intel";"Core i7";16;"Flash Storage";256;0;" Iris Pro Graphics";"Intel";"mac";2.0;114018
7;"Apple";"Ultrabook";13.0;1440;900;0;1.8;"Intel";"Core i5";8;"Flash Storage";256;0;" HD Graphics 6000";"Intel";"mac";1.3;61736
8;"Asus";"Ultrabook";14.0;1920;1080;0;1.8;"Intel";"Core i7";16;"SSD";512;0;" GeForce MX150";"Nvidia";"window";1.3;79654
9;"Acer";"Ultrabook";14.0;1920;1080;0;1.6;"Intel";"Core i5";8;"SSD";256;0;" UHD Graphics 620";"Intel";"window";1.6;41026
10;"HP";"Notebook";16.0;1366;768;0;2.5;"Intel";"Core i5";4;"HDD";500;0;" HD Graphics 620";"Intel";"N/A";1.9;20987
11;"HP";"Notebook";16.0;1920;1080;0;2.0;"Intel";"Core i3";4;"HDD";500;0;" HD Graphics 520";"Intel";"N/A";1.9;18381
12;"Apple";"Ultrabook";15.0;2880;1800;0;2.8;"Intel";"Core i7";16;"SSD";256;0;" Radeon Pro 555";"AMD";"mac";1.8;130002
13;"Dell";"Notebook";16.0;1920;1080;0;2.0;"Intel";"Core i3";4;"SSD";256;0;" Radeon R5 M430";"AMD";"window";2.2;26581
14;"Apple";"Ultrabook";12.0;2304;1440;0;1.2;"Intel";"Core M";8;"SSD";256;0;" HD Graphics 615";"Intel";"mac";0.9;67261
15;"Apple";"Ultrabook";13.0;2560;1600;0;2.3;"Intel";"Core i5";8;"SSD";256;0;" Iris Plus Graphics 640";"Intel";"mac";1.4;80908
16;"Dell";"Notebook";16.0;1920;1080;0;2.7;"Intel";"Core i7";8;"SSD";256;0;" Radeon R5 M430";"AMD";"window";2.2;39694
17;"Apple";"Ultrabook";15.0;2880;1800;0;2.9;"Intel";"Core i7";16;"SSD";512;0;" Radeon Pro 560";"AMD";"mac";1.8;152274
18;"Lenovo";"Notebook";16.0;1920;1080;0;2.4;"Intel";"Core i3";8;"HDD";1024;0;" GeForce 940MX";"Nvidia";"N/A";2.2;26587
19;"Dell";"Ultrabook";13.0;1920;1080;1;1.6;"Intel";"Core i5";8;"SSD";128;0;" UHD Graphics 620";"Intel";"window";1.2;52161
21;"Lenovo";"Gaming";16.0;1920;1080;0;2.5;"Intel";"Core i5";8;"Hybrid";128;1024;" GeForce GTX 1050";"Nvidia";"window";2.5;53227
22;"HP";"Notebook";16.0;1366;768;0;1.5;"AMD";"E-Series E2-9000e";4;"HDD";500;0;" Radeon R2";"AMD";"N/A";1.9;13746
23;"Dell";"2 in 1 Convertible";13.0;1920;1080;1;1.6;"Intel";"Core i5";8;"SSD";256;0;" UHD Graphics 620";"Intel";"window";1.6;43636
24;"HP";"Ultrabook";16.0;1920;1080;0;1.8;"Intel";"Core i7";8;"SSD";256;0;" HD Graphics 620";"Intel";"window";1.9;35112
25;"Dell";"Notebook";16.0;1366;768;0;2.0;"Intel";"Core i3";4;"HDD";1024;0;" HD Graphics 520";"Intel";"window";2.3;22305
26;"Apple";"Ultrabook";13.0;1440;900;0;1.6;"Intel";"Core i5";8;"Flash Storage";128;0;" HD Graphics 6000";"Intel";"mac";1.4;58555
27;"Dell";"Notebook";16.0;1920;1080;0;1.6;"Intel";"Core i5";8;"SSD";256;0;" Radeon 530";"AMD";"window";2.2;42624
28;"Dell";"Ultrabook";16.0;1920;1080;0;1.9;"Intel";"Core i7";8;"SSD";256;256;" UHD Graphics 620";"Intel";"window";1.9;69157
29;"HP";"Notebook";17.0;1920;1080;0;1.6;"Intel";"Core i5";8;"HDD";1024;0;" GeForce 930MX";"Nvidia";"window";2.5;47739
30;"Chuwi";"Notebook";16.0;1920;1080;0;1.4;"Intel";"Atom x5-Z8300";4;"Flash Storage";64;0;" HD Graphics";"Intel";"window";1.9;13053
31;"Asus";"Notebook";14.0;1366;768;0;1.5;"AMD";"E-Series E2-6110";2;"Flash Storage";32;0;" Radeon R2";"AMD";"window";1.7;10603
32;"HP";"Notebook";17.0;1920;1080;0;2.5;"AMD";"A6-Series 9220";4;"HDD";500;0;" Radeon 530";"AMD";"window";2.7;23390
33;"Dell";"Ultrabook";13.0;3200;1800;1;1.8;"Intel";"Core i7";16;"SSD";512;0;" UHD Graphics 620";"Intel";"window";1.2;99580
34;"Apple";"Ultrabook";13.0;1440;900;0;1.6;"Intel";"Core i5";8;"Flash Storage";256;0;" HD Graphics 6000";"Intel";"mac";1.4;53173
35;"Lenovo";"Notebook";14.0;1366;768;0;1.1;"Intel";"Celeron Dual";4;"Flash Storage";64;0;" HD Graphics 500";"Intel";"window";1.4;13267
36;"Acer";"Notebook";16.0;1366;768;0;2.7;"Intel";"Core i3";4;"HDD";1024;0;" HD Graphics 620";"Intel";"linux";2.1;19554
37;"Dell";"Notebook";17.0;1920;1080;0;1.6;"Intel";"Core i5";8;"Hybrid";128;1024;" Radeon 530";"AMD";"window";2.8;52161
38;"HP";"Notebook";16.0;1366;768;0;2.5;"Intel";"Core i5";4;"HDD";1024;0;" HD Graphics 620";"Intel";"window";1.9;26037
39;"HP";"Notebook";16.0;1920;1080;0;1.6;"Intel";"Core i5";8;"SSD";256;0;" GeForce 930MX ";"Nvidia";"window";2.1;46833
40;"Asus";"Notebook";16.0;1920;1080;0;2.0;"Intel";"Core i3";4;"HDD";1024;0;" HD Graphics 620";"Intel";"linux";2.0;20726
41;"Dell";"Gaming";16.0;1920;1080;0;2.8;"Intel";"Core i7";16;"Hybrid";256;1024;" GeForce GTX 1060";"Nvidia";"window";2.7;79867
42;"Asus";"Notebook";16.0;1366;768;0;2.5;"Intel";"Core i5";8;"HDD";1024;0;" GeForce 940MX";"Nvidia";"linux";2.3;27865
43;"Acer";"Notebook";16.0;1920;1080;0;1.6;"Intel";"Core i5";4;"SSD";256;0;" UHD Graphics 620";"Intel";"window";2.2;36337
44;"Dell";"2 in 1 Convertible";17.0;1920;1080;1;1.6;"Intel";"Core i5";12;"HDD";1024;0;" GeForce 150MX";"Nvidia";"window";2.8;53227
45;"Apple";"Ultrabook";13.0;2560;1600;0;2.0;"Intel";"Core i5";8;"SSD";256;0;" Iris Graphics 540";"Intel";"mac";1.4;75604
47;"Asus";"Gaming";17.0;1920;1080;0;3.0;"AMD";"Ryzen 1700";8;"Hybrid";256;1024;" Radeon RX 580";"AMD";"window";3.2;69211
48;"Dell";"Notebook";16.0;1920;1080;0;2.5;"Intel";"Core i5";4;"SSD";256;0;" Radeon R5 M430";"AMD";"window";2.3;34046
49;"Asus";"Notebook";17.0;1366;768;0;1.1;"Intel";"Pentium Quad";4;"HDD";1024;0;" GeForce 920MX";"Nvidia";"window";2.8;24828
51;"Acer";"Notebook";16.0;1920;1080;0;1.8;"Intel";"Core i7";8;"SSD";256;0;" GeForce MX150";"Nvidia";"window";2.2;44808
52;"HP";"Notebook";16.0;1920;1080;0;2.5;"AMD";"A6-Series 9220";4;"SSD";256;0;" Radeon R4 Graphics";"AMD";"window";1.9;21232
53;"HP";"Notebook";13.0;1920;1080;0;1.8;"Intel";"Core i7";8;"SSD";512;0;" UHD Graphics 620";"Intel";"window";1.5;58768
54;"Acer";"Notebook";16.0;1366;768;0;2.4;"Intel";"Core i3";4;"HDD";1024;0;" HD Graphics 620";"Intel";"window";2.4;20460
55;"Dell";"Notebook";16.0;1920;1080;0;1.8;"Intel";"Core i7";8;"SSD";256;0;" Radeon 520";"AMD";"window";2.1;40908
56;"HP";"Notebook";16.0;1920;1080;0;2.0;"Intel";"Core i3";4;"SSD";128;0;" HD Graphics 520";"Intel";"window";1.9;23390
57;"Asus";"Notebook";16.0;1366;768;0;2.5;"Intel";"Core i5";4;"SSD";256;0;" HD Graphics 620";"Intel";"window";2.0;31232
58;"MSI";"Gaming";17.0;1920;1080;0;2.8;"Intel";"Core i7";16;"Hybrid";256;2048;" GeForce GTX 1070";"Nvidia";"window";2.4;130483
59;"Asus";"Notebook";16.0;1920;1080;0;2.0;"Intel";"Core i3";4;"SSD";256;0;" HD Graphics 520";"Intel";"linux";2.0;22111
60;"Dell";"Notebook";17.0;1920;1080;0;1.8;"Intel";"Core i7";16;"Hybrid";256;2048;" Radeon 530";"AMD";"window";2.8;69211
61;"Dell";"Ultrabook";14.0;1920;1080;0;1.6;"Intel";"Core i5";8;"SSD";256;0;" UHD Graphics 620";"Intel";"window";1.7;46833
62;"Lenovo";"Notebook";14.0;1920;1080;0;2.7;"Intel";"Core i3";8;"SSD";256;0;" HD Graphics 620";"Intel";"N/A";1.7;31915
63;"Asus";"Notebook";14.0;1920;1080;0;1.6;"Intel";"Core i5";8;"SSD";256;0;" UHD Graphics 620";"Intel";"window";1.4;50136
64;"HP";"Notebook";16.0;1920;1080;0;2.5;"Intel";"Core i5";8;"SSD";256;0;" HD Graphics 620";"Intel";"window";1.9;36763
65;"Asus";"Ultrabook";16.0;1920;1080;0;2.8;"Intel";"Core i7";16;"SSD";512;0;" GeForce GTX 1050 Ti";"Nvidia";"window";1.8;105654
66;"HP";"Notebook";16.0;1366;768;0;2.0;"Intel";"Core i3";4;"HDD";500;0;" Radeon 520";"AMD";"window";1.9;23373
67;"HP";"Notebook";14.0;1366;768;0;1.6;"Intel";"Celeron Dual";4;"SSD";32;0;" HD Graphics 400";"Intel";"window";1.4;12201
68;"Lenovo";"Notebook";16.0;1920;1080;0;2.5;"Intel";"Core i5";4;"HDD";1024;0;" HD Graphics 620";"Intel";"window";1.9;29251
69;"Asus";"Gaming";17.0;1920;1080;0;2.8;"Intel";"Core i7";12;"HDD";1024;0;" GeForce GTX 1050 Ti";"Nvidia";"linux";3.0;50563
70;"Microsoft";"Ultrabook";14.0;2256;1504;1;2.5;"Intel";"Core i5";4;"SSD";128;0;" HD Graphics 620";"Intel";"window";1.3;58022
71;"Dell";"Ultrabook";13.0;1920;1080;0;1.8;"Intel";"Core i7";64;"SSD";256;0;" Radeon 530";"AMD";"window";1.4;50882
72;"Dell";"Notebook";16.0;1920;1080;0;1.8;"Intel";"Core i7";8;"SSD";256;0;" Radeon 530";"AMD";"window";2.2;46354
73;"MSI";"Gaming";17.0;1920;1080;0;2.5;"Intel";"Core i5";8;"Hybrid";128;1024;" GeForce GTX 1050";"Nvidia";"window";2.7;58342
74;"Acer";"Notebook";14.0;1366;768;0;2.0;"Intel";"Core i3";8;"HDD";1024;0;" HD Graphics 520";"Intel";"window";2.1;20726
75;"Asus";"Gaming";16.0;1920;1080;0;2.8;"Intel";"Core i7";8;"HDD";1024;0;" GeForce GTX 1050";"Nvidia";"window";2.2;50563
76;"Lenovo";"Notebook";16.0;1920;1080;0;2.5;"Intel";"Core i5";8;"HDD";2048;0;" HD Graphics 620";"Intel";"N/A";2.2;27652
77;"Dell";"Notebook";16.0;1920;1080;0;1.8;"Intel";"Core i7";8;"Hybrid";128;1024;" UHD Graphics 620";"Intel";"window";2.0;45554
78;"Acer";"Notebook";16.0;1920;1080;0;2.7;"Intel";"Core i3";4;"HDD";1024;0;" GeForce MX130";"Nvidia";"window";2.2;28238
79;"HP";"Notebook";17.0;1920;1080;0;1.6;"Intel";"Core i5";8;"Hybrid";128;1024;" GeForce 930MX";"Nvidia";"window";2.5;52055
80;"Dell";"Ultrabook";16.0;1920;1080;0;1.6;"Intel";"Core i5";8;"SSD";256;0;" UHD Graphics 620";"Intel";"window";1.9;58403
81;"Apple";"Ultrabook";12.0;2304;1440;0;1.3;"Intel";"Core i5";8;"SSD";512;0;" HD Graphics 615";"Intel";"mac";0.9;80453
82;"HP";"Notebook";14.0;1920;1080;0;1.6;"Intel";"Core i5";8;"SSD";256;0;" HD Graphics 620";"Intel";"window";1.6;45821
83;"Lenovo";"Notebook";16.0;1920;1080;0;2.5;"AMD";"A6-Series 9220";4;"SSD";128;0;" R4 Graphics";"AMD";"window";2.2;21259
84;"Acer";"Notebook";16.0;1366;768;0;3.0;"AMD";"A9-Series 9420";4;"HDD";1024;0;" Radeon R5";"AMD";"window";2.1;21046
85;"Dell";"Gaming";16.0;1920;1080;0;2.8;"Intel";"Core i7";16;"Hybrid";128;1024;" GeForce GTX 1050 Ti";"Nvidia";"window";2.7;71875
86;"HP";"Ultrabook";16.0;1920;1080;0;1.8;"Intel";"Core i7";8;"SSD";256;0;" GeForce GTX 940MX";"Nvidia";"window";1.8;37243
87;"HP";"Notebook";16.0;1920;1080;0;2.5;"Intel";"Core i5";8;"SSD";256;0;" HD Graphics 620";"Intel";"window";2.0;31914
88;"Asus";"Gaming";16.0;1920;1080;0;2.8;"Intel";"Core i7";16;"Hybrid";128;1024;" GeForce GTX 1060";"Nvidia";"window";2.2;77203
89;"Dell";"Ultrabook";13.0;1920;1080;0;1.8;"Intel";"Core i7";8;"SSD";256;0;" UHD Graphics 620";"Intel";"window";1.2;87859
90;"Asus";"Gaming";16.0;1920;1080;0;3.0;"AMD";"FX 9830P";8;"HDD";1024;0;" Radeon RX 560";"AMD";"window";2.5;37243
91;"Acer";"Notebook";16.0;1920;1080;0;1.8;"Intel";"Core i7";2;"HDD";1024;0;" GeForce MX150";"Nvidia";"window";2.2;36710
92;"HP";"Notebook";13.0;1920;1080;0;1.8;"Intel";"Core i7";16;"SSD";512;0;" UHD Graphics 620";"Intel";"window";1.5;63776
93;"Dell";"Gaming";16.0;1920;1080;0;2.5;"Intel";"Core i5";8;"SSD";256;0;" GeForce GTX 1060";"Nvidia";"window";2.7;63670
94;"Asus";"Ultrabook";14.0;1920;1080;0;2.7;"Intel";"Core i7";8;"SSD";256;0;" HD Graphics 620";"Intel";"window";1.3;55891
95;"Acer";"2 in 1 Convertible";13.0;1920;1080;1;1.6;"Intel";"Core i5";8;"SSD";256;0;" UHD Graphics 620";"Intel";"window";1.5;45128
96;"Dell";"Notebook";16.0;1920;1080;0;2.7;"Intel";"Core i7";8;"HDD";1024;0;" Radeon R5 M430";"AMD";"linux";2.2;31963
97;"Dell";"Notebook";16.0;1920;1080;0;2.0;"Intel";"Core i3";4;"SSD";256;0;" Radeon R5 M430";"AMD";"linux";2.2;25841
98;"Asus";"Notebook";16.0;1920;1080;0;2.4;"Intel";"Core i3";6;"SSD";256;0;" GeForce 920M";"Nvidia";"window";2.0;30743
99;"HP";"Gaming";16.0;1920;1080;0;2.8;"Intel";"Core i7";12;"Hybrid";128;1024;" GeForce GTX 1050";"Nvidia";"window";2.6;66547
100;"HP";"Notebook";16.0;1920;1080;0;2.7;"Intel";"Core i7";8;"SSD";256;0;" Radeon 530";"AMD";"window";1.9;38308
101;"HP";"Notebook";16.0;1920;1080;0;1.5;"AMD";"E-Series E2-9000e";4;"HDD";500;0;" Radeon R2";"AMD";"window";2.1;18595
102;"Dell";"Notebook";16.0;1920;1080;0;1.6;"Intel";"Core i5";8;"HDD";1024;0;" Radeon 520";"AMD";"linux";2.2;34472
103;"HP";"Ultrabook";13.0;1920;1080;0;2.7;"Intel";"Core i7";8;"SSD";256;0;" GeForce MX150";"Nvidia";"window";1.4;59620
104;"Microsoft";"Ultrabook";14.0;2256;1504;1;2.5;"Intel";"Core i5";8;"SSD";256;0;" HD Graphics 620";"Intel";"window";1.3;71395
105;"HP";"Notebook";14.0;1920;1080;0;2.5;"Intel";"Core i5";6;"SSD";256;0;" GeForce 940MX";"Nvidia";"window";1.6;35112
106;"Lenovo";"Notebook";16.0;1920;1080;0;2.0;"Intel";"Core i3";4;"HDD";1024;0;" HD Graphics 520";"Intel";"window";1.9;22106
107;"Asus";"Ultrabook";14.0;1920;1080;0;2.7;"Intel";"Core i7";8;"SSD";256;0;" GeForce 940MX";"Nvidia";"window";1.3;63563
108;"MSI";"Gaming";16.0;1920;1080;0;2.8;"Intel";"Core i7";16;"Hybrid";256;1024;" GeForce GTX 1050 Ti";"Nvidia";"window";2.2;69211
109;"Lenovo";"Notebook";14.0;1920;1080;0;2.7;"Intel";"Core i7";8;"SSD";256;0;" HD Graphics 620";"Intel";"window";1.6;78854
110;"Asus";"Ultrabook";16.0;1920;1080;0;1.8;"Intel";"Core i7";16;"Hybrid";256;1024;" GeForce MX150";"Nvidia";"window";1.5;67239
111;"Dell";"Ultrabook";13.0;3200;1800;1;2.4;"Intel";"Core i7";8;"SSD";256;0;" Iris Plus Graphics 640";"Intel";"window";1.2;73473
112;"Lenovo";"2 in 1 Convertible";13.0;1920;1080;1;2.5;"Intel";"Core i5";8;"SSD";256;0;" HD Graphics 620";"Intel";"window";1.4;74539
113;"HP";"Notebook";14.0;1366;768;0;1.6;"Intel";"Core i5";4;"HDD";500;0;" UHD Graphics 620";"Intel";"window";1.6;38468
114;"Dell";"Ultrabook";13.0;1920;1080;0;1.6;"Intel";"Core i5";8;"SSD";256;0;" UHD Graphics 620";"Intel";"window";1.2;86793
116;"HP";"Notebook";14.0;1920;1080;0;1.8;"Intel";"Core i7";8;"SSD";512;0;" UHD Graphics 620";"Intel";"window";1.6;57756
117;"Dell";"Notebook";16.0;1920;1080;0;1.8;"Intel";"Core i7";8;"Hybrid";256;1024;" GeForce 940MX";"Nvidia";"window";2.2;60224
118;"Asus";"Notebook";17.0;1920;1080;0;2.0;"Intel";"Core i3";4;"HDD";1024;0;" GeForce 920MX";"Nvidia";"window";2.0;30050
119;"Asus";"Notebook";16.0;1920;1080;0;1.8;"Intel";"Core i7";8;"SSD";256;0;" GeForce 940MX";"Nvidia";"window";1.7;59567
120;"Acer";"Notebook";16.0;1920;1080;1;2.4;"Intel";"Core i3";6;"HDD";1024;0;" HD Graphics 620";"Intel";"window";2.1;25521
121;"MSI";"Gaming";16.0;1920;1080;0;2.8;"Intel";"Core i7";16;"Hybrid";256;2048;" GeForce GTX 1070";"Nvidia";"window";1.8;119427
122;"Lenovo";"Notebook";16.0;1920;1080;0;2.5;"Intel";"Core i5";8;"SSD";256;0;" GeForce 940MX";"Nvidia";"N/A";2.2;33513
123;"HP";"Notebook";17.0;1920;1080;0;1.8;"Intel";"Core i7";16;"SSD";512;0;" GeForce 930MX ";"Nvidia";"window";2.5;67719
124;"Acer";"Notebook";16.0;1366;768;0;3.0;"AMD";"A9-Series 9420";4;"SSD";256;0;" Radeon R5";"AMD";"window";2.1;24029
126;"HP";"Notebook";14.0;1920;1080;0;1.6;"Intel";"Core i5";8;"HDD";1024;0;" UHD Graphics 620";"Intel";"window";1.6;43263
127;"Asus";"Notebook";14.0;1366;768;0;1.5;"AMD";"E-Series 6110";4;"SSD";64;0;" Radeon R2";"AMD";"window";1.7;14811
128;"Dell";"Notebook";17.0;1920;1080;0;1.8;"Intel";"Core i7";16;"Hybrid";256;2048;" Radeon 530";"AMD";"window";2.8;74379
129;"HP";"Notebook";17.0;1920;1080;0;1.6;"Intel";"Core i5";8;"SSD";256;0;" UHD Graphics 620";"Intel";"window";2.5;49444
130;"Dell";"Notebook";16.0;1366;768;0;2.5;"Intel";"Core i5";8;"HDD";1024;0;" Radeon R7 M445";"AMD";"window";2.4;34045
131;"Dell";"Notebook";16.0;1920;1080;0;2.0;"Intel";"Core i3";4;"HDD";1024;0;" Radeon R5 M430";"AMD";"window";2.2;23923
132;"Acer";"Ultrabook";14.0;1920;1080;0;1.8;"Intel";"Core i7";8;"SSD";256;0;" UHD Graphics 620";"Intel";"window";1.6;47100
